Codigo,Direccion,Latitud,Longitud,Piezas,Precio Min (UF),Precio Max (UF),Tamaño Min,Tamaño Max,Pago,Tipo de Vivienda
6519,"Av. General Bustamante 730, Ñuñoa",-33.45114,-70.62914,n/a,3632,5258,40.61,61.5,venta,departamento
8833,"Ricardo Cumming 902, Santiago",-33.43395,-70.6692,n/a,1845,3398,24.75,57.01,venta,departamento
8595,"Lazo 1365, San Miguel",-33.49864,-70.65986,n/a,2300,2900,38.82,60.75,venta,departamento
8194,"Nuncio Laghi 5600, Ñuñoa",-33.45668,-70.57316,n/a,3584,5923,38.81,81.21,venta,departamento
8224,"Alcalde Eduardo Castillo Velasco 1662, Ñuñoa",-33.45731,-70.6148,n/a,3990,6292,76.99,116,venta,departamento
8254,"Varas Mena 865, San Miguel",-33.51,-70.65063,n/a,2137,0,40.7,74,venta,departamento
8696,"Teresa Vial 1446, San Miguel",-33.49213,-70.65898,n/a,2318,3024,33.54,51.86,venta,departamento
8939,"Titán 4876, Estación Central",-33.45876,-70.70318,n/a,2084,2884,43.23,58.73,venta,departamento
8713,"Rodrigo de Araya 1410, Ñuñoa",-33.47464,-70.61778,n/a,2490,4590,38.84,71.91,venta,departamento
7191,"Federico Scotto 0112, Estación Central",-33.45175,-70.68905,n/a,2182,2686,33.35,43.61,venta,departamento
7627,"Gerónimo de Alderete 1844, La Florida",-33.52826,-70.57485,n/a,3348,4476,70.45,88.43,venta,departamento
8646,"Exequiel Fernández 419, Ñuñoa",-33.45856,-70.59995,n/a,3959,11479,42.62,211.7,venta,departamento
7783,"Zañartu 1.100, Ñuñoa",-33.47318,-70.6211,n/a,3299,3342,41.73,43.14,venta,departamento
7996,"Avenida Irarrázaval 3360, Ñuñoa",-33.45505,-70.59589,n/a,2329,6399,27.07,81.31,venta,departamento
8749,"Arcángel 1218, San Miguel",-33.48841,-70.65354,n/a,2556,0,36.73,91.27,venta,departamento
7335,"Alcalde Pedro Alarcón 851, San Miguel",-33.48702,-70.64531,n/a,2470,3642,49.64,72.86,venta,departamento
6983,"Alcalde Pedro Alarcón 805, San Miguel",-33.48737,-70.64403,n/a,2105,2781,33.67,52.75,venta,departamento
7031,"Ecuador 4570, Estación Central",-33.4535,-70.69904,n/a,2140,3400,39.19,70.29,venta,departamento
6778,"Avenida Vicuña Mackenna 7735, La Florida",-33.52531,-70.59784,n/a,2563,0,40.02,72.78,venta,departamento
8501,"Miguel León Prado 55, Santiago",-33.46189,-70.62871,n/a,2510,4200,29.33,84.29,venta,departamento
8273,"Lorenzo de Médicis 21, Las Condes",-33.40152,-70.55444,n/a,3965,7754,39.66,78.89,venta,departamento
7770,"Abate Molina 186, Santiago",-33.45199,-70.67246,n/a,2300,3260,37.81,57.54,venta,departamento
8192,"Manuel Rodríguez 39, Santiago",-33.44454,-70.66012,n/a,2850,4139,34.58,68.98,venta,departamento
7717,"Dresden 4669, San Miguel",-33.49783,-70.6483,n/a,2855,4314,50.78,97.43,venta,departamento
7366,"Gamero 1553, Independencia",-33.42091,-70.65866,n/a,2799,0,47.75,47.75,venta,departamento
7168,"Av. Irarrázaval 5489, Ñuñoa",-33.45354,-70.57352,n/a,2604,4965,28.75,66.08,venta,departamento
7419,"Ramón Subercaseaux 1265, San Miguel",-33.48491,-70.65154,n/a,2963,0,40.6,93.3,venta,departamento
5087,"Calle Santiago 1320, Santiago",-33.46255,-70.65128,n/a,3009,3049,65.87,65.87,venta,departamento
7360,"Plaza Egaña 100, Ñuñoa",-33.45249,-70.57168,n/a,3324,7354,41.72,81.34,venta,departamento
8808,"Santa Clara 349, La Cisterna",-33.52045,-70.6556,n/a,1993,3359,35.26,64.85,venta,departamento
8322,"Av. Fernández Albano 429, La Cisterna",-33.52515,-70.65354,n/a,1954,3031,31.58,65.86,venta,departamento
6222,"Walker Martínez 1600, La Florida",-33.52256,-70.58062,n/a,2240,3584,49,68.2,venta,departamento
8836,"Salesianos 815, San Miguel",-33.4939,-70.64619,n/a,3910,6070,80.15,236.89,venta,departamento
7688,"Avenida Irarrázaval 2731, Ñuñoa",-33.45451,-70.60263,n/a,3442,6424,36.46,89.22,venta,departamento
6221,"Av. Vicuña Mackenna 6800, La Florida",-33.51752,-70.6049,n/a,2617,3308,45.37,74.58,venta,departamento
6347,"Irarrázaval 200, Ñuñoa",-33.45237,-70.62878,n/a,2538,4315,29,58,venta,departamento
6838,"Alonso de Ercilla 8689, La Florida",-33.53226,-70.58425,n/a,2290,3090,45.41,67.34,venta,departamento
7801,"Av. Pajaritos 4650, Maipú",-33.47937,-70.74389,n/a,3113,4527,60.91,80.3,venta,departamento
8902,"Pedro de Oña 55, Ñuñoa",-33.45378,-70.62936,n/a,3587,6674,38.04,78.11,venta,departamento
8377,"Central Pérez Llona 140, Maipú",-33.50017,-70.75587,n/a,3488,6576,59.83,100.33,venta,departamento
8086,"Alonso de Ercilla 3100, Ñuñoa",-33.45193,-70.59725,n/a,3850,8146,45.6,107.31,venta,departamento
8979,"Vicuña Mackenna 3897, San Joaquín",-33.48928,-70.61829,n/a,2735,5292,39.45,80.19,venta,departamento
8514,"Carmen 590, Santiago",-33.45088,-70.6412,n/a,2677,3791,33.68,53.42,venta,departamento
8954,"Av. José Pedro Alessandri 433, Ñuñoa",-33.45897,-70.59824,n/a,3460,5410,37.8,67.2,venta,departamento
6062,"Av. Américo Vespucio 4641, Macul",-33.49923,-70.58698,n/a,2260,4761,34.79,103.22,venta,departamento
8295,"Av. El Parrón 0113, La Cisterna",-33.52669,-70.6601,n/a,2121,0,31.25,43.14,venta,departamento
7030,"Sexta Avenida 1192, San Miguel",-33.50883,-70.65904,n/a,2233,3192,37.22,59.47,venta,departamento
8223,"Orompello 7255, La Florida",-33.51877,-70.56493,n/a,2611,5508,41.68,89.36,venta,departamento
6780,"Guardia Marina Riquelme 4880, San Miguel",-33.49655,-70.65734,n/a,2744,3288,52.28,64.76,venta,departamento
8846,"San Pablo 4629, Quinta Normal",-33.43899,-70.69834,n/a,2129,3084,36.07,57.38,venta,departamento
8820,"San Pablo 1441, Santiago",-33.43445,-70.65803,n/a,2255,3278,21.91,52.55,venta,departamento
8239,"Transversal Suárez Mujica 2877, Ñuñoa",-33.4608,-70.6019,n/a,3093,5018,35.4,71.96,venta,departamento
7756,"Av. José Artigas 2896, Ñuñoa",-33.44521,-70.59898,n/a,3570,11170,46.94,137.75,venta,departamento
