Codigo,Direccion,Comuna,Latitud,Longitud,Piezas,Precio Min (UF),Precio Max (UF),Tamaño Min,Tamaño Max,Pago,Tipo de Vivienda,Tipo Proyecto
5009863,"Excelentes espacios, piscina, super amplia!!, Colina",Colina,0,0,4D/4B,39,0,170,500, Arriendo, Casa,Propiedad usada
4947822,"METRO TOESCA, Santiago",Santiago,0,0,3D/2B,19,0,79,79, Arriendo, Departamento amoblado,Propiedad usada
4184590,"Ejercito/Grajales, Santiago",Santiago,0,0,3D/2B,3218,0,73,73, Venta, Departamento,Propiedad usada
4989742,"Hermanos Carrera 2486, MaipÃš",MaipÃš,0,0,3D/1B,3935,0,60,140, Venta, Casa,Propiedad usada
4687128,"Los Libertadores / Santa Isabel, El Monte",El Monte,0,0,3D/2B,3965,0,125,310, Venta, Casa,Propiedad usada
4261013,"Quinta Avenida/Tercera Transversal, San Miguel",San Miguel,0,0,3D/2B,3200,0,62,66, Venta, Departamento,Propiedad usada
5042485,"El Golf/Av.Pte Riesco/Carmencita, Las Condes",Las Condes,0,0,2D/2B,29,0,70,90, Arriendo, Departamento amoblado,Propiedad usada
4693678,"Santa Isabel 55, Santiago",Santiago,0,0,2D/2B,14,0,48.7,48.7, Arriendo, Departamento,Propiedad usada
4792916,"Pocuro, Providencia",Providencia,0,0,3D/3B,19,0,70,70, Arriendo, Departamento,Propiedad usada
5001054,"Av. El Rodeo, Lampa - Casa 1393, Lampa",Lampa,0,0,4D/3B,19,0,104,180, Arriendo, Casa,Propiedad usada
5028792,"Arriendo departamento San Isidro 2 dormitorios a 3 cuadras de Metro Santa Lucía, Santiago",Santiago,0,0,2D/1B,13,0,48,50, Arriendo, Departamento,Propiedad usada
4760351,"ALSACIA 151 EL GOLF METRO ALCANTARA EXCELENTE 1 DORMITORIO, Las Condes",Las Condes,0,0,1D/1B,23,0,50,50, Arriendo, Departamento amoblado,Propiedad usada
3955628,"El Descanso - El descanso /Americo vespu, MaipÃš",MaipÃš,0,0,4D/3B,3935,0,82,144, Venta, Casa,Propiedad usada
4877283,"Departamento 1 habitación amoblado en pleno Providencia, Manuel Montt, Providencia",Providencia,0,0,1D/1B,21,0,40,40, Arriendo, Departamento amoblado,Propiedad usada
3764514,"Los Militares 5200, Las Condes",Las Condes,0,0,4D/3B,33,0,135,156, Arriendo, Departamento,Propiedad usada
5039600,"Avenida Vicuña Mackenna 1433, Santiago",Santiago,0,0,2D/2B,14,0,43.27,43.27, Arriendo, Departamento,Propiedad usada
4991917,"Metro Alcantara - Las Torcasas - Hamlet, Las Condes",Las Condes,0,0,1D/1B,24,0,52,55, Arriendo, Departamento amoblado,Propiedad usada
4937049,"Metro Los Leones / Andres de Fuenzalida, Providencia",Providencia,0,0,2D/1B,17,0,80,80, Arriendo, Departamento,Propiedad usada
5037641,"Metro Santa Lucía/Marin/Santa Victoria, Santiago",Santiago,0,0,2D/2B,18,0,65,71, Arriendo, Departamento,Propiedad usada
5012402,"Los Maitenes 15000, Colina",Colina,0,0,4D/4B,35,0,132,400, Arriendo, Casa,Propiedad usada
4837521,"Av Vicuña Mackena, Santiago",Santiago,0,0,2D/1B,2915,0,43,43, Venta, Departamento,Propiedad usada
4960673,"Mall Sport, Lo Barnechea",Lo Barnechea,0,0,3D/3B,39,0,126,160, Arriendo, Departamento,Propiedad usada
4993261,"Las Rejas/Alameda, Estación Central",Estación Central,0,0,3D/1B,2661,0,43,45, Venta, Departamento,Propiedad usada
4942867,"Barrio Republica /Av. España-3D-2B/63M2, Santiago",Santiago,0,0,3D/1B,2550,0,63,63, Venta, Departamento,Propiedad usada
4804555,"Las Hortensias / Los Leones, Providencia",Providencia,0,0,3D/2B,36,0,180,235, Arriendo, Departamento,Propiedad usada
4877001,"PLAZA FERNANDO DE ARGÜELLO, Vitacura",Vitacura,0,0,1D/1B,22,0,48,53, Arriendo, Departamento,Propiedad usada
5023147,"METRO PEDRO DE VALDIVIA - Metro Pedro Va, Providencia",Providencia,0,0,1D/1B,16,0,38,40, Arriendo, Departamento,Propiedad usada
5038664,"AMUNATEGUI / SANTO DOMINGO, Santiago",Santiago,0,0,2D/1B,3751,0,53,59, Venta, Departamento,Propiedad usada
5031015,"Antonio Bellet - Metro Pedro de Valdivia, Providencia",Providencia,0,0,3D/1B,35,0,90,109, Arriendo, Departamento,Propiedad usada
4983352,"DISPONIBLE 1 DE OCTUBRE 2019, Funcional y cómoda, a pasos colegio San FFJH, Huechuraba",Huechuraba,0,0,3D/3B,22,0,120,200, Arriendo, Casa,Propiedad usada
4804099,"VITACURA / PARQUE ARAUCO / NEW, Las Condes",Las Condes,0,0,3D/4B,34,0,130,148, Arriendo, Departamento,Propiedad usada
5022707,"METRO IRARRAZAVAL, ESTACIONAMIENTO!, Santiago",Santiago,0,0,2D/2B,3288,0,53,55, Venta, Departamento,Propiedad usada
5039010,"Eliodoro Yáñez / Rafael Cañas, Providencia",Providencia,0,0,3D/3B,22,0,116,116, Arriendo, Departamento,Propiedad usada
