Codigo,Direccion,Piezas,Precio Min (UF),Precio Max (UF),Tamaño Min,Tamaño Max,Pago,Tipo de Vivienda
8080,"Walker Martínez 1620, La Florida",n/a,2867.0,4984.0,49.55,85.3,venta,departamento
7001,"Cuarta Avenida 1336, San Miguel",n/a,2128.0,2956.0,33.39,58.76,venta,departamento
8212,"San Ignacio de Loyola 691, Santiago",n/a,2410.0,3501.0,28.85,48.7,venta,departamento
8233,"Ventura Blanco 1377, San Miguel",n/a,3326.0,3336.0,40.41,41.55,venta,departamento
7364,"Departamental 1475, La Florida",n/a,2100.0,3690.0,37.21,67.65,venta,departamento
7610,"Colombia 7800, La Florida",n/a,2773.0,4138.0,44.0,67.17,venta,departamento
6823,"Coronel Godoy s/n, Estación Central",n/a,2114.0,2394.0,45.61,54.63,venta,departamento
7081,"Sazié 2048, Santiago",n/a,2890.0,0.0,48.84,57.11,venta,departamento
8295,"Av. El Parrón 0113, La Cisterna",n/a,2121.0,0.0,31.25,43.14,venta,departamento
6359,"Conde del Maule 4470, Estación Central",n/a,2589.0,2631.0,48.1,48.4,venta,departamento
6307,"General Mackenna 1520, Santiago",n/a,2599.0,3220.0,30.35,52.5,venta,departamento
8868,"Walker Martínez 911, La Florida",n/a,2493.0,4948.0,37.93,88.99,venta,departamento
8036,"Av. Recoleta 1760, Recoleta",n/a,2800.0,0.0,53.79,56.33,venta,departamento
8303,"Las Madreselvas 4519, Macul",n/a,2702.0,4080.0,56.87,95.93,venta,departamento
7092,"Titán 4876, Estación Central",n/a,2007.0,2420.0,47.04,52.44,venta,departamento
6952,"José Miguel Carrera 680, Santiago",n/a,2825.0,0.0,38.58,50.93,venta,departamento
9006,"Domingo Santa María 1846, Independencia",n/a,2284.0,4526.0,33.95,77.67,venta,departamento
9026,"San Diego 2044, Santiago",n/a,2415.0,0.0,37.09,67.27,venta,departamento
8138,"Irarrázaval 5350, Ñuñoa",n/a,2604.0,5466.0,26.18,60.05,venta,departamento
8204,"Av. Rosas 1220, Santiago",n/a,2863.0,5120.0,35.04,63.71,venta,departamento
8800,"Av. Canal La Luz 3810, Puente Alto",n/a,2729.0,3807.0,70.64,83.57,venta,departamento
8830,"Av. La Florida 10671, La Florida",n/a,2372.0,4897.0,37.78,93.04,venta,departamento
7841,"Avenida Macul 2301, Macul",n/a,2750.0,0.0,51.02,100.71,venta,departamento
6222,"Walker Martínez 1600, La Florida",n/a,2240.0,3584.0,49.0,68.2,venta,departamento
8514,"Carmen 590, Santiago",n/a,2677.0,3791.0,33.68,53.42,venta,departamento
5319,"Av. Vicuña Mackenna 2289, San Joaquín",n/a,2224.0,3990.0,35.8,74.44,venta,departamento
8144,"Arturo Prat 1942, Santiago",n/a,2262.0,3042.0,35.61,56.14,venta,departamento
8531,"Coronel Souper 4250, Estación Central",n/a,2202.0,3378.0,38.46,57.69,venta,departamento
7660,"Compañía de Jesús 1656, Santiago",n/a,2134.0,3648.0,25.1,35.93,venta,departamento
