Codigo,Direccion,Latitud,Longitud,Piezas,Precio Min (UF),Precio Max (UF),Tamaño Min,Tamaño Max,Pago,Tipo de Vivienda
3751142,"Arturo Prat / Condor, Santiago",-33.4494,-70.6491,2D/2B,3047.0,0.0,45.0,50.0,venta,departamento
4278469,"Metro Universidad Católica, Santiago",-33.44638,-70.63988,2D/1B,3047.0,0.0,42.0,45.0,venta,departamento
4029810,"Hamburgo, Ñuñoa",-33.44152,-70.57796,3D/1B,3047.0,0.0,70.0,70.0,venta,departamento
4521477,"Avenida Macul 2701, Macul",-33.47976,-70.59946,2D/2B,3047.0,0.0,69.0,73.0,venta,departamento
4861500,"Walker Martinez / Colombia, La Florida",-33.52238,-70.58995,3D/2B,3047.0,0.0,78.0,80.0,venta,departamento
4903993,"Barrio Italia, Providencia",-33.44209,-70.62412,1D/1B,3048.0,0.0,34.0,34.0,venta,departamento
4903793,"Las Madreselvas 3071, Macul",-33.4833,-70.6006,2D/2B,3048.0,0.0,52.0,52.0,venta,departamento
4975416,"EINSTEIN/INDEPENDENCIA, Independencia",-33.41484,-70.66499,2D/2B,3048.0,0.0,52.0,52.0,venta,departamento
4897979,"Metro Pedro De Valdivia, Providencia",-33.43485,-70.61573,1D/1B,3049.0,0.0,33.0,33.0,venta,departamento
4858954,"Vicente Valdés / Vicuña Mackenna, La Florida",-33.52704,-70.59495,2D/2B,3050.0,0.0,59.0,61.0,venta,departamento
4910140,"Metro Vicente Vades, La Florida",-33.52733,-70.58859,3D/2B,3050.0,0.0,64.89,68.0,venta,departamento
4804867,"Avenida Salesianos / Teresa Vial, San Miguel",-33.49098,-70.65752,2D/1B,3050.0,0.0,44.0,44.0,venta,departamento
4937575,"Independencia/Municipalidad De Independe, Independencia",-33.4221,-70.655,2D/2B,3050.0,0.0,55.0,44.0,venta,departamento
3637899,"INDEPENDENCIA Y VIVACETA, Independencia",-33.4203,-70.6598,3D/2B,3050.0,0.0,57.0,60.0,venta,departamento
3812899,"Santa Isabel / San Diego, Santiago",-33.45034,-70.65086,2D/2B,3050.0,0.0,45.0,52.0,venta,departamento
4897185,"Metro Plaza De Maipu, Maipú",-33.50555,-70.7549,3D/2B,3050.0,0.0,60.0,64.0,venta,departamento
2563587,"Amunátegui / Rosas, Santiago",-33.4358,-70.65705,2D/2B,3050.0,0.0,54.0,56.0,venta,departamento
4826495,"San Martin/Amunategui, Santiago",-33.4393,-70.6576,2D/2B,3050.0,0.0,52.0,56.0,venta,departamento
4717020,"Plaza De Armas - Parque Forestal, Santiago",-33.434,-70.6478,1D/1B,3050.0,0.0,40.0,40.0,venta,departamento
4702249,"Lord Cochrane 1000, Santiago",-33.4547,-70.6539,2D/2B,3050.0,0.0,50.0,50.0,venta,departamento
4750778,"Bandera 800, Santiago",-33.43431,-70.65308,2D/2B,3050.0,0.0,49.0,57.0,venta,departamento
4986101,"Depto. Nuevo ALMAGRO 2D|1B| Metro Santa Ana, Santiago",-33.43323,-70.65973,2D/1B,3050.0,0.0,43.05,48.41,venta,departamento
4990377,"METRO IRARRAZABAL / 2 DORMITORIOS / 1 BAÑO / ESTACIONAMIENTO AMPLIO / GRAN BODEGA., Santiago",-33.45735,-70.62956,2D/1B,3050.0,0.0,40.0,42.0,venta,departamento
4929714,"Pedro Lagos/ Santa Rosa, Santiago",-33.46446,-70.64205,3D/1B,3050.0,0.0,55.0,60.0,venta,departamento
4471968,"Excelente, Metro Los Presidentes, Condominio Tranquilo, Macul",-33.48168,-70.58124,3D/2B,3050.0,0.0,70.0,75.0,venta,departamento
2563587,"Amunátegui / Rosas, Santiago",-33.4358,-70.65705,2D/2B,3050.0,0.0,54.0,56.0,venta,departamento
4891794,"Estadio Municipal Las Condes, Las Condes",-33.42422,-70.52734,2D/1B,3051.0,0.0,70.0,70.0,venta,departamento
4840913,"San Isidro, Santiago",-33.4468,-70.6436,2D/2B,3054.0,0.0,55.0,57.0,venta,departamento
3591994,"Jose Pedro Alessandri / Grecia, Ñuñoa",-33.46317,-70.59829,2D/1B,3056.0,0.0,52.0,57.0,venta,departamento
4873307,"Vía Siete / Carlos Dittborn, Ñuñoa",-33.46599,-70.61758,3D/1B,3056.0,0.0,67.8,67.8,venta,departamento
4860733,"MUNICIPALIDAD / ESTACIÓN METRO HOSPITALES / ESTACIONAMIENTO Y BODEGA, Independencia",-33.42284,-70.65569,3D/2B,3058.0,0.0,61.0,61.0,venta,departamento
4846913,"Ideal Para Inversionistas!!! Cercano A Gran Avenida Y Al Metro Cuidad Del Niño., San Miguel",-33.51374,-70.65306,3D/2B,3059.0,0.0,68.0,70.0,venta,departamento
4953238,"General Bulnes / Catedral (Barrio Brasil, Santiago",-33.4389,-70.6705,2D/1B,3060.0,0.0,50.0,50.0,venta,departamento
5012483,"Entre Calle Merced Y Monjitas A 1 Cuadra Metro Bellas Artes, Santiago",-33.43668,-70.64428,1D/1B,3060.0,0.0,35.0,37.0,venta,departamento
4759958,"La Marina 1240, San Miguel",-33.49739,-70.65642,2D/2B,3060.0,0.0,65.0,73.0,venta,departamento
4958263,"Gran Avenida, 3 Dormitorios, San Miguel",-33.438,-70.638,3D/2B,3060.0,0.0,66.0,73.0,venta,departamento
4791905,"General Bulnes / Catedral, Santiago",-33.43876,-70.67057,2D/1B,3060.0,0.0,50.0,50.0,venta,departamento
4314807,"Morandé 626, Santiago",-33.43624,-70.65435,2D/2B,3060.0,0.0,52.0,52.0,venta,departamento
4411069,"IGNACIO CARRERA PINTO / PREMIO NOBEL, Ñuñoa",-33.46909,-70.59248,2D/1B,3061.0,0.0,70.0,70.0,venta,departamento
4992349,"EXCLUSIVOS DEPARTAMENTOS DE 1, 2 Y 3 DORMITORIOS, VENTA SIN COMISION, La Cisterna",-33.54288,-70.66911,3D/2B,3063.0,0.0,53.75,55.88,venta,departamento
4997825,"EXCLUSIVOS DEPARTAMENTOS DE 1, 2 Y 3 DORMITORIOS, VENTA SIN COMISION, La Cisterna",-33.54288,-70.66911,3D/2B,3063.0,0.0,54.0,56.0,venta,departamento
5016628,"TRINIDAD RAMÍREZ / GRAN AVENIDA - EXCLUSIVOS DEPARTAMENTOS DE 1, 2 Y 3 DORMITORIOS, VENTA SIN COMISION, La Cisterna",-33.54288,-70.66911,3D/2B,3063.0,0.0,54.0,56.0,venta,departamento
4847506,"COLOMBIA / WALKER MARTINEZ, La Florida",-33.52834,-70.53982,3D/2B,3064.0,0.0,80.0,56.0,venta,departamento
4971993,"San Eugenio / Metro Ñuble / Ñuñoa, Ñuñoa",-33.46401,-70.62475,2D/1B,3065.0,0.0,42.0,45.0,venta,departamento
4795756,"METRO REPUBLICA / AVENIDA ESPAÑA / SAZIE, Santiago",-33.45172,-70.66994,2D/2B,3067.0,0.0,54.0,62.0,venta,departamento
4603036,"Depto. 3D + 2B Con Terraza Y Bodega, Frente A Parque Los Reyes, Metro Cumming, Santiago",-33.42993,-70.66788,3D/2B,3067.0,0.0,67.0,75.0,venta,departamento
4788999,"Las Encinas / Jose Pedro Alessandri, Ñuñoa",-33.46902,-70.59669,2D/1B,3068.0,0.0,55.0,55.0,venta,departamento
4786699,"Avenida Macul 2795, Macul",-33.4802,-70.5997,2D/2B,3069.0,0.0,64.0,68.0,venta,departamento
4875619,"Condominio Los Andes, Macul",-33.49062,-70.61582,2D/2B,3070.0,0.0,52.55,56.67,venta,departamento
4958266,"Metro Ciudad Del Niño, 3 Dormitorios, San Miguel",-33.438,-70.638,3D/2B,3070.0,0.0,66.0,56.67,venta,departamento
4715112,"Metro Mirador, La Florida",-33.51473,-70.60448,2D/1B,3070.0,0.0,55.0,75.0,venta,departamento
5036907,"Ciudad Del Este - Av Diego Portales Con, Puente Alto",-33.5679,-70.5444,3D/2B,3072.0,0.0,68.0,71.0,venta,departamento
5036940,"Metro Santa Lucía - San Isidro, Santiago",-33.4452,-70.6441,2D/2B,3072.0,0.0,55.0,56.0,venta,departamento
4771863,"Ñuble / Vicuña Mackenna, Santiago",-33.46697,-70.62787,3D/2B,3072.0,0.0,55.0,58.0,venta,departamento
5028626,"Metro San Joaquin - Metro San Joaquin, San Joaquín",-33.5005,-70.6162,2B,3073.0,0.0,56.0,56.0,venta,departamento
5014107,"Los Plátanos 3858, Macul",-33.4825,-70.59228,3D/2B,3074.0,0.0,61.0,61.0,venta,departamento
4574337,"Metro Irarrazaval, Ñuñoa",-33.45212,-70.62956,3D/2B,3075.0,0.0,78.0,80.0,venta,departamento
4868575,"Se Vende Departamento En Excelente Ubica, Independencia",-33.4065,-70.6682,3D/2B,3076.0,0.0,60.0,80.0,venta,departamento
4952169,"Avenida Las Torres 300, Maipú",-33.47141,-70.73029,2D/1B,3076.0,0.0,55.0,58.0,venta,departamento
4316642,"Vicuña Mackenna/ Diagonal Paraguay, Santiago",-33.4422,-70.6346,1D/1B,3076.0,0.0,46.0,48.0,venta,departamento
4860921,"Avenida Manuel Antonio Matta 040, Ñuñoa",-33.45487,-70.62958,2D/2B,3076.0,0.0,51.0,55.0,venta,departamento
4969634,"Froilan Roa / Paso El Roble, La Florida",-33.51575,-70.5982,3D/1B,3076.0,0.0,75.0,75.0,venta,departamento
4981193,"Acalde Pedro Alarcón/Gran Avenida, San Miguel",-33.4865,-70.6477,3D/2B,3076.0,0.0,60.0,62.0,venta,departamento
4872843,"VICUÑA MACKENNA - METRO SAN JOAQUIN, San Joaquín",-33.5009,-70.6162,2D/2B,3076.0,0.0,59.0,56.0,venta,departamento
4737937,"DEPTO 3D|2B|EST|BOD| FLORIDA, La Florida",-33.55636,-70.56112,3D/2B,3079.0,0.0,80.0,83.0,venta,departamento
4547448,"Avenida Independencia 1050 - Departamento 606, Independencia",-33.41845,-70.65646,2D/2B,3080.0,0.0,47.69,51.89,venta,departamento
4693652,"Avenida Américo Vespucio 5360 - Departamento 14, Peñalolén",-33.50625,-70.5892,3D/2B,3080.0,0.0,73.0,73.0,venta,departamento
4735939,"Metro Parque Ohiggins, Santiago",-33.45796,-70.65552,3D/1B,3080.0,0.0,52.3,52.3,venta,departamento
4737302,"Ricardo Cumming 1640, Santiago",-33.4291,-70.66945,3D/2B,3080.0,0.0,65.0,68.0,venta,departamento
